insideTemperature;summary;outsideTemperature;date
36.05;Clear;29.04;18/01/2001
35.23;Clear;27.84;19/01/2001
34.54;Clear;27.15;20/01/2001
33.56;Clear;25.14;21/01/2001
32.49;Clear;24.59;22/01/2001
31.72;Clear;23.96;23/01/2001
30.78;Clear;23.5;24/01/2001
29.95;Clear;23.1;25/01/2001
28.94;Clear;23.07;26/01/2001
29.21;Clear;24.75;27/01/2001
31.31;Clear;25.11;28/01/2001
32.02;Clear;25.6;29/01/2001
32.48;Clear;26.08;30/01/2001
32.4;Clear;26.26;31/01/2001
32.39;Partly Cloudy;27.39;01/02/2001
32.16;Clear;26.82;02/02/2001
31.76;Clear;26.6;03/02/2001
31.15;Clear;25.29;04/02/2001
30.55;Partly Cloudy;24.47;05/02/2001
30.15;Partly Cloudy;23.84;06/02/2001
29.39;Partly Cloudy;25.11;07/02/2001
29.16;Clear;23.36;08/02/2001
28.1;Partly Cloudy;22.93;09/02/2001
27.54;Partly Cloudy;22.75;10/02/2001
27.05;Clear;21.59;11/02/2001
26.58;Clear;22.07;12/02/2001
26.49;Mostly Cloudy;22.7;13/02/2001
26.4;Light Snow;21.85;14/02/2001
26.13;Light Snow;20.0;15/02/2001
24.81;Flurries;19.93;16/02/2001
23.28;Light Snow;11.7;17/02/2001
21.76;Clear;10.7;18/02/2001
21.23;Mostly Cloudy;10.38;19/02/2001
20.64;Clear;7.81;20/02/2001
20.04;Partly Cloudy;7.56;21/02/2001
20.92;Clear;6.59;22/02/2001
22.29;Clear;8.49;23/02/2001
22.8;Clear;8.27;24/02/2001
23.32;Clear;8.53;25/02/2001
23.78;Breezy;8.63;26/02/2001
22.81;Clear;8.11;27/02/2001
21.38;Clear;6.5;28/02/2001
19.95;Clear;5.42;01/03/2001
18.92;Clear;5.84;02/03/2001
18.54;Clear;4.8;03/03/2001
18.1;Clear;4.71;04/03/2001
17.58;Clear;2.73;05/03/2001
16.77;Clear;1.17;06/03/2001
15.71;Clear;0.53;07/03/2001
15.47;Clear;0.14;08/03/2001
14.81;Clear;-0.58;09/03/2001
14.7;Clear;-0.01;10/03/2001
14.39;Clear;-0.18;11/03/2001
14.21;Clear;-0.31;12/03/2001
13.77;Clear;-1.24;13/03/2001
13.77;Clear;-2.4;14/03/2001
13.78;Clear;-2.23;15/03/2001
14.36;Clear;-2.1;16/03/2001
16.09;Breezy;-1.48;17/03/2001
17.7;Clear;1.54;18/03/2001
18.9;Clear;2.96;19/03/2001
20.31;Clear;4.42;20/03/2001
20.83;Clear;5.19;21/03/2001
20.82;Clear;5.12;22/03/2001
21.16;Clear;6.24;23/03/2001
21.38;Clear;6.33;24/03/2001
20.65;Clear;5.53;25/03/2001
19.97;Clear;5.25;26/03/2001
20.15;Clear;5.66;27/03/2001
19.83;Clear;6.25;28/03/2001
19.43;Clear;6.06;29/03/2001
18.65;Clear;6.19;30/03/2001
18.91;Clear;5.68;31/03/2001
18.94;Clear;4.58;01/04/2001
19.38;Clear;6.03;02/04/2001
18.76;Clear;5.57;03/04/2001
18.36;Clear;5.43;04/04/2001
